,Company Name,Governance Score 2020-21,Governance Score 2022-23,Governance Score 2023-24,Classification 2020-21,Classification 2022-23,Classification 2023-24,Change Classification,Stock Performance 2019-20,Stock Performance 2020-21,Stock Performance 2021-22,Stock Performance 2022-23,Stock Performance 2023-24,Stock Performance 2019-2024,Stock Performance 2015-2024,All Time Performance,Comparison 2019-20,Comparison 2020-21,Comparison 2021-22,Comparison 2022-23,Comparison 2023-24,Comparison 2019-2024,Comparison 2015-2024,All Time Comparison,Average Classification,Short Term Performance,Long Term Performance,Company Name Original,Ticker,Macro-Economic Sector,Sector,Industry,Basic Industry
12,computeragemanagementservicesltd,74.0,85.3,31.4,Strong,Strong,Strong,Constant,Data Not Available,32.94%,25.75%,-13.77%,36.67%,119.68%,119.68%,119.68%,Data Not Available,Worse,Better,Worse,Better,Better,Worse,Data Not Available,Strong,Better,Worse,computer age management services limited,CAMS,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries
13,adffoodsltd,67.0,,20.7,Adequate,,Below Average,Constant,-29.45%,613.41%,-12.82%,2.49%,36.66%,295.60%,1626.12%,1301.50%,Worse,Better,Worse,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,adf foods limited,ADFFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
14,deltacorpltd,62.0,76.2,34.1,Below Average,Below Average,Strong,Constant,-72.49%,172.29%,89.13%,-41.86%,-43.25%,-52.62%,44.18%,429.20%,Worse,Better,Better,Worse,Worse,Worse,Worse,Data Not Available,Adequate,Worse,Worse,delta corp limited,DELTACORP,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
15,dennetworksltd,60.0,,40.1,Weak,,Strong,Improved,-59.03%,74.65%,-34.81%,-32.41%,63.65%,-36.38%,-61.81%,-70.66%,Worse,Worse,Worse,Worse,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,den networks limited,DEN,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
16,dishtvindialtd,61.0,,29.7,Below Average,,Strong,Improved,-89.01%,88.78%,65.99%,-16.40%,20.50%,-54.55%,-78.25%,-83.47%,Worse,Worse,Better,Worse,Worse,Worse,Worse,Data Not Available,Adequate,Worse,Worse,dish tv india limited,DISHTV,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
17,easytripplannersltd,67.0,77.9,,Adequate,Below Average,,Constant,Data Not Available,-0.65%,249.29%,2.23%,-2.81%,233.59%,233.59%,233.59%,Data Not Available,Worse,Better,Better,Worse,Better,Better,Data Not Available,Below Average,Better,Better,easy trip planners ltd,EASEMYTRIP,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services
18,edelweissruralandcorporateservicesltd,54.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,edelweiss rural and corporate services limited,,,,,
19,entertainmentnetworkindialtd,64.0,,33.7,Below Average,,Strong,Improved,-77.39%,34.23%,33.34%,-44.04%,126.88%,-49.76%,-61.84%,4.70%,Worse,Worse,Better,Worse,Better,Worse,Worse,Data Not Available,Adequate,Worse,Worse,entertainment network (india) limited,ENIL,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
20,evereadyindustriesindialtd,63.0,,16.2,Below Average,,Weak,Constant,-74.51%,424.27%,23.82%,-16.06%,14.35%,68.83%,29.33%,1531.97%,Worse,Better,Better,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,eveready industries india limited,EVEREADY,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
21,exideindustriesltd,71.0,79.7,18.3,Strong,Adequate,Weak,Constant,-38.71%,39.93%,-19.28%,14.92%,72.77%,46.10%,88.45%,10194.82%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Adequate,Worse,Worse,exide industries limited,EXIDEIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
22,finopaymentsbankltd,72.0,,35.8,Strong,,Strong,Constant,Data Not Available,Data Not Available,-53.78%,-28.08%,41.09%,-47.73%,-47.73%,-47.73%,Data Not Available,Data Not Available,Worse,Worse,Better,Worse,Worse,Data Not Available,Strong,Worse,Worse,fino payments bank limited,FINOPB,Financial Services,Financial Services,Banks,Other Bank
23,fsne-commerceventuresltd,70.0,79.8,36.0,Adequate,Adequate,Strong,Constant,Data Not Available,Data Not Available,-23.40%,-50.41%,16.01%,-55.95%,-55.95%,-55.95%,Data Not Available,Data Not Available,Worse,Worse,Worse,Worse,Worse,Data Not Available,Adequate,Worse,Worse,fsn e-commerce ventures limited,NYKAA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
24,foodcorporationofindia,42.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,food corporation of india,,,,,
25,gtplhathwayltd,64.0,,29.1,Below Average,,Strong,Improved,-40.01%,263.94%,53.90%,-41.35%,68.52%,162.40%,9.97%,9.97%,Worse,Better,Better,Worse,Better,Better,Worse,Data Not Available,Adequate,Better,Worse,gtpl hathway limited,GTPL,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
26,glenmarkpharmaceuticalsltd,63.0,78.7,22.6,Below Average,Adequate,Adequate,Constant,-67.92%,148.29%,-3.55%,2.62%,120.27%,52.24%,25.13%,324273.32%,Worse,Better,Worse,Better,Better,Worse,Worse,Data Not Available,Adequate,Better,Worse,glenmark pharmaceuticals limited,GLENMARK,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
27,hblpowersystemsltd,58.0,,17.9,Weak,,Weak,Constant,-57.16%,205.05%,79.61%,43.28%,366.68%,1702.27%,950.68%,1822.85%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Weak,Better,Better,hbl power systems limited,HBLPOWER,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
28,hathwaycableanddatacomltd,64.0,,29.6,Below Average,,Strong,Improved,-48.86%,116.88%,-42.21%,-32.02%,43.07%,-25.48%,-59.96%,-53.55%,Worse,Better,Worse,Worse,Better,Worse,Worse,Data Not Available,Adequate,Worse,Worse,hathway cable and datacom limited,HATHWAY,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
29,housingandurbandevelopmentcorporationltd,80.0,72.6,23.9,Strong,Weak,Adequate,Fluctuated,-53.37%,158.96%,-26.23%,36.22%,346.21%,471.60%,261.65%,261.65%,Worse,Better,Worse,Better,Better,Better,Better,Data Not Available,Adequate,Better,Better,housing and urban development corporation limited,HUDCO,Financial Services,Financial Services,Finance,Financial Institution
30,huhtamakiindialtd,69.0,79.2,23.7,Adequate,Adequate,Adequate,Constant,-0.90%,65.73%,-46.05%,16.12%,53.47%,57.73%,43.82%,2407.45%,Better,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Adequate,Better,Worse,huhtamaki india limited,HUHTAMAKI,Industrials,Capital Goods,Industrial Products,Packaging
31,inoxleisureltd,60.0,,40.2,Weak,,Strong,Improved,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,inox leisure limited,,,,,
32,itcltd,75.0,82.3,28.2,Strong,Strong,Adequate,Constant,-41.32%,52.42%,16.63%,63.06%,16.02%,75.87%,154.95%,13056.78%,Worse,Worse,Worse,Better,Worse,Worse,Worse,Data Not Available,Strong,Worse,Worse,itc limited,ITC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
33,indiamartintermeshltd,68.0,85.7,34.4,Adequate,Strong,Strong,Constant,49.33%,310.87%,-45.81%,13.34%,4.05%,310.44%,310.44%,310.44%,Better,Better,Worse,Better,Worse,Better,Better,Data Not Available,Strong,Better,Better,indiamart intermesh limited,INDIAMART,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
34,indianenergyexchangeltd,71.0,78.4,32.2,Strong,Below Average,Strong,Fluctuated,-18.95%,158.86%,90.72%,-41.74%,-9.15%,165.61%,165.49%,165.49%,Better,Better,Better,Worse,Worse,Better,Worse,Data Not Available,Adequate,Better,Worse,indian energy exchange limited,IEX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
35,indianrailwaycateringandtourismcorporationltd,65.0,73.6,28.4,Below Average,Weak,Adequate,Constant,35.72%,94.84%,111.54%,-25.11%,54.27%,555.13%,555.13%,555.13%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,indian railway catering and tourism corporation limited,IRCTC,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services
36,infoedgeindialtd,73.0,83.2,36.2,Strong,Strong,Strong,Constant,7.36%,153.10%,-3.32%,-19.51%,62.30%,198.19%,601.25%,3863.12%,Better,Better,Worse,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,info edge india limited,NAUKRI,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
37,inoxwindltd,61.0,73.6,19.3,Below Average,Weak,Below Average,Constant,-73.41%,269.31%,58.97%,-15.02%,424.22%,653.76%,18.98%,18.98%,Worse,Better,Better,Worse,Better,Better,Worse,Data Not Available,Below Average,Better,Worse,inox wind limited,INOXWIND,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
38,jmfinancialassetreconstructioncompanyltd,58.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,jm financial asset reconstruction company limited,,,,,
39,jmcprojectsindialtd,63.0,,21.7,Below Average,,Adequate,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,jmc projects india limited,,,,,
40,jswispatspecialproductsltd,63.0,,21.3,Below Average,,Below Average,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,jsw ispat special products limited,,,,,
41,jagranprakashanltd,59.0,,37.4,Weak,,Strong,Improved,-56.96%,46.69%,9.90%,18.53%,40.71%,2.94%,-4.09%,239.83%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,jagran prakashan limited,JAGRAN,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media
42,jindalstainlessltd,64.0,80.7,21.2,Below Average,Adequate,Below Average,Constant,-40.05%,192.64%,209.24%,54.27%,140.69%,1642.61%,1662.34%,90.82%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,jindal stainless limited,JSL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
43,kopranltd,69.0,,22.9,Adequate,,Adequate,Constant,-37.36%,542.60%,163.71%,-62.15%,142.21%,567.71%,481.02%,365.22%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Adequate,Better,Better,kopran limited,KOPRAN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
44,krblltd,55.0,76.5,17.9,Weak,Below Average,Weak,Constant,-61.98%,32.28%,6.44%,68.60%,-22.09%,-19.69%,99.19%,25994.57%,Worse,Worse,Worse,Better,Worse,Worse,Worse,Data Not Available,Weak,Worse,Worse,krbl limited,KRBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
45,matrimonycomltd,72.0,79.6,33.8,Strong,Adequate,Strong,Constant,-54.17%,221.54%,-32.10%,-24.59%,4.35%,-11.31%,-40.39%,-40.39%,Worse,Better,Worse,Worse,Worse,Worse,Worse,Data Not Available,Strong,Worse,Worse,matrimony.com limited,MATRIMONY,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
46,motilaloswalfinancialservicesltd,70.0,83.7,35.8,Adequate,Strong,Strong,Constant,-14.66%,33.01%,36.98%,-25.76%,205.73%,246.35%,761.83%,1755.75%,Better,Worse,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,motilal oswal financial services limited,MOTILALOFS,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
47,multicommodityexchangeofindialtd,76.0,79.3,,Strong,Adequate,,Constant,44.42%,76.75%,-10.53%,6.85%,125.58%,357.64%,226.21%,217.57%,Better,Worse,Worse,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,multi commodity exchange of india limited,MCX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
48,tv18broadcastltd,69.0,79.1,37.7,Adequate,Adequate,Strong,Constant,-54.91%,116.98%,137.72%,-58.09%,52.38%,34.10%,56.76%,-54.40%,Worse,Better,Better,Worse,Better,Worse,Worse,Data Not Available,Adequate,Better,Worse,tv18 broadcast limited,TV18BRDCST,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
49,tv18broadcastltd,73.0,79.1,37.7,Strong,Adequate,Strong,Constant,-54.91%,116.98%,137.72%,-58.09%,52.38%,34.10%,56.76%,-54.40%,Worse,Better,Better,Worse,Better,Worse,Worse,Data Not Available,Strong,Better,Worse,tv18 broadcast limited,TV18BRDCST,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
50,ndlventuresltd,59.0,,26.1,Weak,,Adequate,Improved,Data Not Available,Data Not Available,Data Not Available,312.63%,-18.36%,245.50%,245.50%,245.50%,Data Not Available,Data Not Available,Data Not Available,Better,Worse,Better,Better,Data Not Available,Below Average,Better,Better,ndl ventures limited,NDLVENTURE,Financial Services,Financial Services,Finance,Other Financial Services
51,nabhapowerltd,51.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,nabha power limited,,,,,
52,nationalhighwaysauthorityofindia,26.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,national highways authority of india,,,,,
53,nationalstockexchangeofindialtd,67.0,,,Adequate,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Adequate,Worse,Worse,national stock exchange of india limited,,,,,
54,swanenergyltd,55.0,68.8,20.6,Weak,Weak,Below Average,Constant,-4.91%,37.31%,38.31%,18.33%,193.62%,533.49%,1063.01%,847.64%,Better,Worse,Better,Better,Better,Better,Better,Data Not Available,Weak,Better,Better,swan energy limited,SWANENERGY,Diversified,Diversified,Diversified,Diversified
55,nazaratechnologiesltd,70.0,78.3,31.6,Adequate,Below Average,Strong,Constant,Data Not Available,-7.90%,2.91%,-42.03%,32.53%,-15.65%,-15.65%,-15.65%,Data Not Available,Worse,Worse,Worse,Worse,Worse,Worse,Data Not Available,Adequate,Worse,Worse,nazara technologies limited,NAZARA,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Digital Entertainment
56,network18mediaandinvestmentsltd,72.0,82.1,35.5,Strong,Strong,Strong,Constant,-45.31%,124.69%,102.26%,-31.46%,44.63%,156.93%,78.47%,35.68%,Worse,Better,Better,Worse,Better,Better,Worse,Data Not Available,Strong,Better,Worse,network18 media and investments limited,NETWORK18,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
57,one97communicationsltd,51.0,73.7,27.4,Weak,Weak,Adequate,Constant,Data Not Available,Data Not Available,-66.14%,12.57%,-31.04%,-74.20%,-74.20%,-74.20%,Data Not Available,Data Not Available,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,one 97 communications limited,PAYTM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
58,one97communicationsltd,51.0,73.7,27.4,Weak,Weak,Adequate,Constant,Data Not Available,Data Not Available,-66.14%,12.57%,-31.04%,-74.20%,-74.20%,-74.20%,Data Not Available,Data Not Available,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,one 97 communications limited,PAYTM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
59,pbfintechltd,64.0,76.9,28.8,Below Average,Below Average,Adequate,Constant,Data Not Available,Data Not Available,-42.25%,-14.54%,90.84%,-6.49%,-6.49%,-6.49%,Data Not Available,Data Not Available,Worse,Worse,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,pb fintech limited,POLICYBZR,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
60,pvrinoxltd,61.0,66.3,,Below Average,Weak,,Constant,Data Not Available,Data Not Available,Data Not Available,-14.77%,-15.54%,-26.32%,-26.32%,-26.32%,Data Not Available,Data Not Available,Data Not Available,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,pvr inox ltd,PVRINOX,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
61,primefocusltd,63.0,,39.0,Below Average,,Strong,Improved,-58.07%,136.08%,61.17%,-9.87%,25.34%,60.85%,170.15%,201.63%,Worse,Better,Better,Worse,Worse,Worse,Better,Data Not Available,Adequate,Worse,Better,prime focus limited,PFOCUS,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
62,privispecialitychemicalsltd,64.0,,18.8,Below Average,,Weak,Constant,-6.35%,197.47%,174.85%,-44.65%,-5.45%,193.26%,362.76%,362.76%,Better,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Better,Better,privi speciality chemicals limited,PRIVISCL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
63,punesolapurexpresswaysprivateltd,41.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,pune solapur expressways private limited,,,,,
64,rattanindiaenterprisesltd,66.0,73.3,32.9,Adequate,Weak,Strong,Fluctuated,-26.79%,92.45%,632.54%,-27.60%,91.96%,2371.43%,3118.60%,1547.62%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Adequate,Better,Better,rattanindia enterprises limited,RTNINDIA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
65,rattanindiapowerltd-phaseiiamravati,64.0,,,Below Average,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,rattanindia power limited - phase ii amravati,,,,,
66,saregamaindialtd,77.0,75.9,36.5,Strong,Below Average,Strong,Fluctuated,-65.92%,620.04%,225.97%,-23.31%,4.78%,550.04%,2879.69%,4381.02%,Worse,Better,Better,Worse,Worse,Better,Better,Data Not Available,Adequate,Worse,Better,saregama india limited,SAREGAMA,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
67,shriramfinanceltd,73.0,81.3,31.8,Strong,Adequate,Strong,Constant,-44.27%,225.22%,-15.83%,17.19%,92.62%,119.29%,127.49%,36574.60%,Worse,Better,Worse,Better,Better,Better,Worse,Data Not Available,Strong,Better,Worse,shriram finance limited,SHRIRAMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
68,suntvnetworkltd,63.0,65.8,33.4,Below Average,Weak,Strong,Constant,-48.66%,74.69%,4.05%,-7.85%,42.95%,18.21%,86.40%,152.79%,Worse,Worse,Worse,Worse,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,sun tv network limited,SUNTV,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
69,suntvnetworkltd,65.0,65.8,33.4,Below Average,Weak,Strong,Constant,-48.66%,74.69%,4.05%,-7.85%,42.95%,18.21%,86.40%,152.79%,Worse,Worse,Worse,Worse,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,sun tv network limited,SUNTV,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
70,tcnsclothingcoltd,66.0,,25.7,Adequate,,Adequate,Constant,-58.65%,35.00%,47.35%,-46.81%,-25.23%,-56.96%,-48.11%,-48.11%,Worse,Worse,Better,Worse,Worse,Worse,Worse,Data Not Available,Adequate,Worse,Worse,tcns clothing co. limited,TCNSBRANDS,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
71,tdpowersystemsltd,69.0,,20.9,Adequate,,Below Average,Constant,-31.87%,74.18%,139.48%,122.99%,89.86%,1124.02%,443.39%,509.29%,Worse,Worse,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,td power systems limited,TDPOWERSYS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
72,talwandisabopowerltd,53.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,talwandi sabo power limited,,,,,
73,tatacoffeeltd,73.0,77.5,18.5,Strong,Below Average,Weak,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,tata coffee limited,,,,,
